Tick	Model	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Layer9	Layer10	Layer11	Layer12	Layer13	Layer14	Layer15	Layer16	Layer17	Layer18	Layer19	Layer20
90	3D	1	0.826244243	0.697356791	0.589500473	0.499210511	0.423604501	0.360566094	0.308340836	0.265413197	0.230435533	0.202106122	0.179786226	0.16261611	0.150071991	0.141843998	0.135466506	0.130567114	0.126975534	0.124611557	0.1234371
91	3D	1	0.827328548	0.699258627	0.591442529	0.500640329	0.424619648	0.361432478	0.309078087	0.265998324	0.231023094	0.203670825	0.181048571	0.162987349	0.150660526	0.141434575	0.135214574	0.130405736	0.126959487	0.124674738	0.123533295
92	3D	1	0.826566678	0.697973864	0.589828662	0.499597559	0.42437695	0.361566918	0.309737512	0.266319674	0.230961778	0.202483503	0.179880011	0.162357238	0.149485723	0.140722649	0.13515274	0.130427185	0.126962436	0.124670642	0.123527962
93	3D	1	0.825944528	0.696853623	0.58895583	0.498849026	0.423405001	0.360603507	0.308467184	0.265537988	0.23046894	0.201956314	0.179343932	0.16200402	0.149420282	0.141363053	0.135143886	0.130407518	0.126916538	0.124607183	0.123456721
94	3D	1	0.825955744	0.696870165	0.588898034	0.498320395	0.422727173	0.359866875	0.30781819	0.264953887	0.229883552	0.201645587	0.179396476	0.16253572	0.15070757	0.141863417	0.135427546	0.130517545	0.126926716	0.12456628	0.123394519
95	3D	1	0.826253166	0.697420443	0.589591045	0.498904742	0.423145712	0.360113387	0.307929138	0.264992231	0.229949364	0.201750509	0.180191173	0.162313617	0.150170591	0.140633716	0.134810451	0.130072494	0.126589066	0.124292677	0.123151079
96	3D	1	0.826010087	0.69696265	0.589058783	0.498860301	0.423362895	0.360421865	0.307992067	0.264941703	0.230022243	0.202651902	0.179337803	0.162124473	0.149636583	0.141342065	0.134985526	0.130165727	0.126630082	0.124298737	0.123139271
97	3D	1	0.826021909	0.697048809	0.589436834	0.49993198	0.425856712	0.360590471	0.308027366	0.264964091	0.229876085	0.201729332	0.179415051	0.162270731	0.150213619	0.141250582	0.134972754	0.130174329	0.126647018	0.12432007	0.123162681
98	3D	1	0.827004351	0.698494318	0.589738257	0.499181121	0.42392711	0.361105026	0.30872607	0.265840246	0.231933415	0.203459187	0.179910557	0.162302486	0.149277705	0.140266531	0.134738843	0.130133919	0.126672248	0.124362013	0.123206846
99	3D	1	0.826394983	0.697558856	0.589761565	0.499718176	0.426079435	0.361108998	0.30866378	0.265610324	0.230605474	0.202526612	0.180284042	0.163818196	0.150197563	0.141717234	0.135548729	0.1307079	0.127105753	0.124716839	0.12352607
100	3D	1	0.826433844	0.697836097	0.590373468	0.499995262	0.42422042	0.361068895	0.308768737	0.265755868	0.230798379	0.202366208	0.180123698	0.16290839	0.150315102	0.141261203	0.135553941	0.130763862	0.1272041	0.124846615	0.123672346
101	3D	1	0.82616744	0.697245919	0.589461014	0.499372693	0.423964936	0.361196094	0.309144316	0.266412537	0.232333271	0.20291731	0.180560016	0.163619248	0.15162339	0.142292799	0.135869441	0.131001221	0.127417166	0.125047785	0.123867838
